item_id,order_id,product_id,quantity,unit_price,line_total
ITEM-000001,ORD-000001,P0006,4,19.99,79.96
ITEM-000002,ORD-000001,P0025,2,19.99,39.98
ITEM-000003,ORD-000001,P0038,1,39.99,39.99
ITEM-000004,ORD-000001,P0066,1,29.99,29.99
ITEM-000005,ORD-000002,P0006,3,19.99,59.97
ITEM-000006,ORD-000002,P0016,2,999.99,1999.98
ITEM-000007,ORD-000002,P0045,3,149.99,449.97
ITEM-000008,ORD-000002,P0049,2,24.99,49.98
ITEM-000009,ORD-000003,P0013,3,499.99,1499.97
ITEM-000010,ORD-000004,P0024,1,29.99,29.99
ITEM-000011,ORD-000004,P0033,3,99.99,299.97
ITEM-000012,ORD-000004,P0001,1,799.99,799.99
ITEM-000013,ORD-000005,P0028,4,499.99,1999.96
ITEM-000014,ORD-000005,P0060,1,199.99,199.99
ITEM-000015,ORD-000005,P0008,2,199.99,399.98
ITEM-000016,ORD-000006,P0068,2,39.99,79.98
ITEM-000017,ORD-000006,P0048,4,49.99,199.96
ITEM-000018,ORD-000006,P0046,3,49.99,149.97
ITEM-000019,ORD-000007,P0034,3,14.99,44.97
ITEM-000020,ORD-000007,P0072,4,39.99,159.96
ITEM-000021,ORD-000007,P0058,4,499.99,1999.96
ITEM-000022,ORD-000008,P0018,2,49.99,99.98
ITEM-000023,ORD-000008,P0045,1,149.99,149.99
ITEM-000024,ORD-000008,P0038,3,39.99,119.97
ITEM-000025,ORD-000009,P0050,2,39.99,79.98
ITEM-000026,ORD-000009,P0068,4,39.99,159.96
ITEM-000027,ORD-000010,P0052,4,39.99,159.96
ITEM-000028,ORD-000010,P0066,3,29.99,89.97
ITEM-000029,ORD-000010,P0033,1,99.99,99.99
ITEM-000030,ORD-000011,P0067,3,29.99,89.97
ITEM-000031,ORD-000011,P0056,2,999.99,1999.98
ITEM-000032,ORD-000011,P0062,1,199.99,199.99
ITEM-000033,ORD-000011,P0024,1,29.99,29.99
ITEM-000034,ORD-000012,P0068,4,39.99,159.96
ITEM-000035,ORD-000012,P0001,4,799.99,3199.96
ITEM-000036,ORD-000012,P0070,3,149.99,449.97
ITEM-000037,ORD-000013,P0014,3,999.99,2999.97
ITEM-000038,ORD-000013,P0029,4,199.99,799.96
ITEM-000039,ORD-000013,P0021,4,99.99,399.96
ITEM-000040,ORD-000014,P0020,4,14.99,59.96
ITEM-000041,ORD-000015,P0022,1,299.99,299.99
ITEM-000042,ORD-000015,P0028,1,499.99,499.99
ITEM-000043,ORD-000015,P0057,1,149.99,149.99
ITEM-000044,ORD-000016,P0048,2,49.99,99.98
ITEM-000045,ORD-000016,P0050,3,39.99,119.97
ITEM-000046,ORD-000017,P0072,4,39.99,159.96
ITEM-000047,ORD-000018,P0058,2,499.99,999.98
ITEM-000048,ORD-000018,P0008,2,199.99,399.98
ITEM-000049,ORD-000018,P0047,1,499.99,499.99
ITEM-000050,ORD-000019,P0032,1,9.99,9.99
ITEM-000051,ORD-000019,P0049,3,24.99,74.97
ITEM-000052,ORD-000019,P0010,3,29.99,89.97
ITEM-000053,ORD-000019,P0029,4,199.99,799.96
ITEM-000054,ORD-000019,P0003,3,59.99,179.97
ITEM-000055,ORD-000020,P0062,2,199.99,399.98
ITEM-000056,ORD-000021,P0037,4,29.99,119.96
ITEM-000057,ORD-000021,P0010,3,29.99,89.97
ITEM-000058,ORD-000021,P0008,1,199.99,199.99
ITEM-000059,ORD-000021,P0028,4,499.99,1999.96
ITEM-000060,ORD-000021,P0055,2,79.99,159.98
ITEM-000061,ORD-000022,P0068,1,39.99,39.99
ITEM-000062,ORD-000022,P0035,1,9.99,9.99
ITEM-000063,ORD-000023,P0059,1,199.99,199.99
ITEM-000064,ORD-000024,P0005,4,799.99,3199.96
ITEM-000065,ORD-000024,P0032,1,9.99,9.99
ITEM-000066,ORD-000025,P0059,4,199.99,799.96
ITEM-000067,ORD-000025,P0013,1,499.99,499.99
ITEM-000068,ORD-000025,P0068,4,39.99,159.96
ITEM-000069,ORD-000025,P0034,4,14.99,59.96
ITEM-000070,ORD-000025,P0053,2,79.99,159.98
ITEM-000071,ORD-000026,P0028,4,499.99,1999.96
ITEM-000072,ORD-000026,P0014,3,999.99,2999.97
ITEM-000073,ORD-000026,P0054,2,999.99,1999.98
ITEM-000074,ORD-000026,P0019,4,199.99,799.96
ITEM-000075,ORD-000027,P0053,1,79.99,79.99
ITEM-000076,ORD-000027,P0007,1,194.20,194.20
ITEM-000077,ORD-000027,P0011,4,19.99,79.96
ITEM-000078,ORD-000028,P0038,1,39.99,39.99
ITEM-000079,ORD-000028,P0007,1,107.59,107.59
ITEM-000080,ORD-000028,P0001,2,799.99,1599.98
