order_id,customer_id,order_date,status,subtotal,discount_pct,shipping_cost,tax,total,payment_method,coupon_code
ORD-000001,C00386,2022-02-02,shipped,2200.87,0.00,0.00,176.07,2376.94,credit_card,
ORD-000002,C00291,2024-09-01,completed,1735.51,0.00,0.00,138.84,1882.34,bank_transfer,WELCOME20
ORD-000003,C00245,2022-03-19,cancelled,1496.74,15.00,0.00,119.74,1399.96,apple_pay,WELCOME20
ORD-000004,C00005,2023-01-29,completed,307.01,20.00,0.00,24.56,280.16,debit_card,FLASH15
ORD-000005,C00214,2023-02-01,completed,295.01,0.00,15.99,23.60,334.60,credit_card,
ORD-000006,C00045,2024-01-16,completed,723.39,10.00,7.99,57.87,718.91,bank_transfer,
ORD-000007,C00107,2025-01-05,shipped,452.08,0.00,15.99,36.17,513.24,credit_card,
ORD-000008,C00241,2025-04-28,shipped,1455.71,10.00,5.99,116.46,1436.59,debit_card,
ORD-000009,C00334,2023-05-01,completed,1848.30,0.00,12.99,147.86,2002.15,credit_card,FLASH15
ORD-000010,C00497,2024-06-11,completed,375.18,25.00,15.99,30.01,311.40,google_pay,SAVE10
ORD-000011,C00140,2023-02-02,completed,1585.57,0.00,5.99,126.85,1722.41,credit_card,
ORD-000012,C00062,2022-08-16,completed,2131.35,15.00,12.99,170.51,1982.16,apple_pay,
ORD-000013,C00303,2022-12-15,completed,1451.63,20.00,5.99,116.13,1277.43,google_pay,VIP25
ORD-000014,C00544,2023-03-20,processing,1485.08,15.00,7.99,118.81,1381.12,google_pay,
ORD-000015,C00254,2025-04-01,completed,567.68,25.00,0.00,45.41,471.17,google_pay,
ORD-000016,C00042,2024-10-29,refunded,98.55,20.00,12.99,7.88,102.71,credit_card,FLASH15
ORD-000017,C00583,2025-02-17,completed,1886.40,10.00,5.99,150.91,1848.67,apple_pay,
ORD-000018,C00245,2022-07-05,completed,54.59,0.00,0.00,4.37,74.95,credit_card,FLASH15
ORD-000019,C00475,2024-04-10,shipped,474.59,5.00,15.99,37.97,488.83,credit_card,WELCOME20
ORD-000020,C00341,2023-08-31,completed,1073.37,0.00,24.99,85.87,1165.23,credit_card,
ORD-000021,C00344,2022-04-23,shipped,1294.12,5.00,0.00,103.53,1332.94,google_pay,SAVE10
ORD-000022,C00477,2024-01-19,completed,925.59,20.00,0.00,74.05,839.51,debit_card,
ORD-000023,C00343,2022-08-21,completed,1627.86,25.00,5.99,130.23,1357.11,apple_pay,SAVE10
ORD-000024,C00274,2024-05-16,completed,703.71,0.00,9.99,56.30,770.00,bank_transfer,FLASH15
ORD-000025,C00567,2022-09-09,completed,1183.36,20.00,24.99,94.67,1049.35,bank_transfer,
ORD-000026,C00377,2022-05-15,shipped,483.06,15.00,0.00,38.64,449.25,google_pay,
ORD-000027,C00296,2022-06-07,cancelled,286.77,0.00,0.00,22.94,309.71,bank_transfer,
ORD-000028,C00210,2022-02-16,completed,743.53,20.00,0.00,59.48,670.30,apple_pay,WELCOME20
ORD-000029,C00455,2022-02-13,shipped,739.42,0.00,0.00,59.15,804.56,apple_pay,WELCOME20
ORD-000030,C00352,2023-10-31,completed,1223.08,20.00,24.99,97.85,1092.30,bank_transfer,
ORD-000031,C00136,2023-09-20,processing,441.77,0.00,5.99,35.34,493.10,apple_pay,
ORD-000032,C00049,2023-08-06,completed,1147.98,0.00,0.00,91.84,1264.81,paypal,
ORD-000033,C00180,2022-11-11,shipped,415.72,0.00,0.00,33.26,458.97,credit_card,FLASH15
ORD-000034,C00267,2023-02-25,completed,1412.78,0.00,9.99,113.02,1535.79,credit_card,SAVE10
