payment_id,order_id,method,amount,status,transaction_date,currency,auth_code
PAY-000001,ORD-000001,credit_card,2376.94,completed,2022-02-02 19:00:00,CAD,AUTH-166108
PAY-000002,ORD-000002,bank_transfer,1882.34,completed,2024-09-01 11:00:00,EUR,AUTH-942030
PAY-000003,ORD-000003,apple_pay,1399.96,completed,2022-03-20 18:00:00,USD,AUTH-658210
PAY-000004,ORD-000004,debit_card,280.16,completed,2023-01-29 03:00:00,USD,AUTH-958096
PAY-000005,ORD-000005,credit_card,334.60,pending,2023-02-01 20:00:00,USD,AUTH-829615
PAY-000006,ORD-000006,bank_transfer,718.91,completed,2024-01-16 05:00:00,USD,AUTH-282092
PAY-000007,ORD-000007,credit_card,513.24,completed,2025-01-05 09:00:00,CAD,AUTH-379658
PAY-000008,ORD-000008,debit_card,1436.59,completed,2025-04-28 05:00:00,USD,AUTH-232405
PAY-000009,ORD-000009,credit_card,2002.15,pending,2023-05-01 13:00:00,EUR,AUTH-856537
PAY-000010,ORD-000010,google_pay,311.40,completed,2024-06-11 16:00:00,USD,AUTH-980866
PAY-000011,ORD-000011,credit_card,1722.41,completed,2023-02-02 18:00:00,EUR,AUTH-343586
PAY-000012,ORD-000012,apple_pay,1982.16,completed,2022-08-17 01:00:00,USD,AUTH-186038
PAY-000013,ORD-000013,google_pay,1277.43,completed,2022-12-16 13:00:00,USD,AUTH-393225
PAY-000014,ORD-000014,google_pay,1381.12,completed,2023-03-20 15:00:00,USD,AUTH-588045
PAY-000015,ORD-000015,google_pay,471.17,completed,2025-04-02 07:00:00,USD,AUTH-434967
PAY-000016,ORD-000016,credit_card,102.71,completed,2024-10-30 04:00:00,CAD,AUTH-306083
PAY-000017,ORD-000017,apple_pay,1848.67,failed,2025-02-17 14:00:00,EUR,AUTH-480832
PAY-000018,ORD-000018,credit_card,74.95,completed,2022-07-06 00:00:00,USD,AUTH-804504
PAY-000019,ORD-000019,credit_card,488.83,completed,2024-04-10 02:00:00,USD,AUTH-505518
PAY-000020,ORD-000020,credit_card,1165.23,completed,2023-08-31 19:00:00,USD,AUTH-845816
PAY-000021,ORD-000021,google_pay,1332.94,completed,2022-04-24 06:00:00,CAD,AUTH-560212
PAY-000022,ORD-000022,debit_card,839.51,completed,2024-01-19 11:00:00,EUR,AUTH-773463
PAY-000023,ORD-000023,apple_pay,1357.11,completed,2022-08-22 02:00:00,USD,AUTH-238581
PAY-000024,ORD-000024,bank_transfer,770.00,completed,2024-05-17 07:00:00,USD,AUTH-392721
PAY-000025,ORD-000025,bank_transfer,1049.35,completed,2022-09-09 05:00:00,USD,AUTH-414831
PAY-000026,ORD-000026,google_pay,449.25,completed,2022-05-15 23:00:00,USD,AUTH-849623
PAY-000027,ORD-000027,bank_transfer,309.71,failed,2022-06-08 04:00:00,USD,AUTH-394688
PAY-000028,ORD-000028,apple_pay,670.30,completed,2022-02-16 02:00:00,USD,AUTH-738830
PAY-000029,ORD-000029,apple_pay,804.56,completed,2022-02-14 19:00:00,GBP,AUTH-763084
PAY-000030,ORD-000030,bank_transfer,1092.30,completed,2023-11-01 14:00:00,EUR,AUTH-263429
PAY-000031,ORD-000031,apple_pay,493.10,completed,2023-09-21 07:00:00,USD,AUTH-605940
PAY-000032,ORD-000032,paypal,1264.81,completed,2023-08-07 05:00:00,USD,AUTH-645970
PAY-000033,ORD-000033,credit_card,458.97,completed,2022-11-11 21:00:00,EUR,AUTH-669711
PAY-000034,ORD-000034,credit_card,1535.79,completed,2023-02-26 21:00:00,USD,AUTH-254908
PAY-000035,ORD-000035,bank_transfer,1461.38,refunded,2022-11-30 13:00:00,USD,AUTH-479220
PAY-000036,ORD-000036,paypal,32.58,completed,2022-11-16 21:00:00,EUR,AUTH-719093
PAY-000037,ORD-000037,credit_card,1397.93,completed,2025-03-20 21:00:00,USD,AUTH-300788
PAY-000038,ORD-000038,bank_transfer,335.87,completed,2025-02-03 22:00:00,GBP,AUTH-584894
PAY-000039,ORD-000039,credit_card,1588.01,pending,2023-02-05 15:00:00,CAD,AUTH-340355
PAY-000040,ORD-000040,apple_pay,2407.15,failed,2022-06-28 13:00:00,USD,AUTH-800939
PAY-000041,ORD-000041,apple_pay,995.86,completed,2024-01-10 09:00:00,USD,AUTH-208870
PAY-000042,ORD-000042,bank_transfer,2156.84,completed,2023-09-24 11:00:00,USD,AUTH-951452
PAY-000043,ORD-000043,credit_card,1789.07,completed,2024-05-19 19:00:00,USD,AUTH-479634
PAY-000044,ORD-000044,credit_card,2664.14,completed,2024-12-11 00:00:00,GBP,AUTH-303106
PAY-000045,ORD-000045,credit_card,971.59,completed,2025-02-12 08:00:00,USD,AUTH-359518
PAY-000046,ORD-000046,bank_transfer,2240.42,completed,2022-03-28 02:00:00,USD,AUTH-997252
